,time,accX,accY,accZ,gyrX,gyrY,gyrZ
35,1657038863.163067,0.16,0.4,9.68,-0.02181661564992912,0.04581489286485115,-0.22362031041177347
36,1657038863.1818743,0.27,-0.01,9.68,0.02945243112740431,0.05781403147231216,-0.22471114119426994
37,1657038863.2044146,-0.27,0.17,9.99,0.013089969389957472,0.05345070834232634,-0.19962203319685143
38,1657038863.2214558,0.11,0.14,10.32,0.016362461737446838,0.028361600344907856,-0.23671027980173096
39,1657038863.2431102,-0.26,-0.41000000000000003,10.23,-0.004363323129985824,0.0272707695624114,-0.22362031041177347
40,1657038863.2628994,-0.32,0.37,10.22,0.02399827721492203,0.11780972450961724,-0.14726215563702155
41,1657038863.2828057,0.68,0.25,9.84,-0.006544984694978736,0.05126904677733343,-0.11562806294462433
42,1657038863.304198,-0.73,0.01,10.6,0.050178215994836975,0.05890486225480862,-0.1461713248545251
43,1657038863.3212168,0.49,-0.03,9.16,-0.04254240051736178,0.014180800172453928,-0.06872233929727672
44,1657038863.3425145,0.5,0.13,9.5,0.003272492347489368,-0.038179077387375956,-0.05672320068981571
45,1657038863.3625886,-0.08,-0.08,9.69,0.032724923474893676,-0.017453292519943295,-0.019634954084936207
46,1657038863.3823147,-0.21,-0.16,10.290000000000001,0.008726646259971648,0.05890486225480862,-0.03490658503988659
47,1657038863.4040685,0.47000000000000003,0.18,9.72,-0.037088246604879506,0.06435901616729091,-0.032724923474893676
48,1657038863.4239097,-0.19,0.18,9.98,-0.006544984694978736,0.017453292519943295,-0.028361600344907856
49,1657038863.4444246,-0.21,-0.02,9.76,-0.055632369907319255,0.02945243112740431,-0.032724923474893676
50,1657038863.4645686,0.0,-0.09,9.46,0.006544984694978736,0.039269908169872414,-0.007635815477475192
51,1657038863.4839392,0.34,0.28,10.63,0.04254240051736178,0.05999569303730508,0.006544984694978736
52,1657038863.5048254,0.06,0.47000000000000003,10.28,-0.011999138607461015,0.022907446432425576,-0.02399827721492203
53,1657038863.521686,-0.04,0.0,9.61,-0.03381575425739013,-0.020725784867432664,-0.015271630954950384
54,1657038863.543428,-0.23,-0.08,9.77,-0.044724062082354694,0.006544984694978736,-0.009817477042468103
55,1657038863.5632465,-0.03,-0.05,9.700000000000001,-0.04908738521234052,0.039269908169872414,-0.003272492347489368
56,1657038863.5828326,-0.01,0.08,9.74,-0.06326818538479445,0.02181661564992912,0.004363323129985824
57,1657038863.6043415,-0.17,0.45,9.98,-0.013089969389957472,0.006544984694978736,0.02181661564992912
58,1657038863.6217492,-0.07,-0.13,9.59,-0.019634954084936207,0.026179938779914945,0.015271630954950384
