,Unnamed: 0,time,accX,accY,accZ,gyrX,gyrY,gyrZ,y,x
54,54,1.0788075923919678,-0.23,-0.08,9.77,-0.0447240620823546,0.0065449846949787,-0.0098174770424681,-0.19653565400810782,0.022935562609853397
55,55,1.0986261367797852,-0.03,-0.05,9.7,-0.0490873852123405,0.0392699081698724,-0.0032724923474893,-0.20103012629630881,0.02354868245146259
56,56,1.1182122230529785,-0.01,0.08,9.74,-0.0632681853847944,0.0218166156499291,0.0043633231299858,-0.20549023616467718,0.024142504533652215
57,57,1.139721155166626,-0.17,0.45,9.98,-0.0130899693899574,0.0065449846949787,0.0218166156499291,-0.21040948338556684,0.024781002843198924
58,58,1.1571288108825684,-0.07,-0.13,9.59,-0.0196349540849362,0.0261799387799149,0.0152716309549503,-0.21440718180477428,0.025287492910578552
59,59,1.1788341999053955,-0.37,-0.04,9.67,0.0250891079974184,0.0032724923474893,-0.0098174770424681,-0.21941259211353745,0.025906403125568002
60,60,1.198829174041748,-0.36,0.27,10.19,-0.0207257848674326,-0.0261799387799149,-0.0109083078249645,-0.22404399089871732,0.026464364781371055
61,61,1.2188539505004883,0.06,-0.5,10.36,0.0381790773873759,-0.0054541539124822,0.0054541539124822,-0.2287019264229934,0.02701167749855038
62,62,1.2404448986053467,0.15,0.06,9.67,-0.0152716309549503,-0.1178097245096172,0.0327249234748936,-0.23374612014127913,0.027589174604946934
63,63,1.2572474479675293,-0.59,0.32,10.25,-0.0076358154774751,-0.0512690467773334,-0.0196349540849362,-0.2376873004834953,0.028029703832630107
64,64,1.2790734767913818,-0.01,-0.3,9.8,0.0054541539124822,-0.0043633231299858,-0.0403607389523688,-0.24282710066781904,0.028590547414034356
65,65,1.2988977432250977,0.29,-0.09,9.37,0.0087266462599716,-0.0512690467773334,-0.0098174770424681,-0.2475151921889504,0.0290890158906095
66,66,1.3184013366699219,-0.13,-0.07,9.64,0.0414515697348653,-0.0501782159948369,-0.0109083078249645,-0.2521454792632926,0.029569472623451512
67,67,1.3395414352416992,0.12,-0.02,9.59,0.0938114472946952,-0.0807214779047377,0.0250891079974184,-0.25718413876939306,0.030079334162117458
68,68,1.3564178943634033,0.12,0.03,9.42,0.0698131700797731,-0.0785398163397448,0.0305432619099007,-0.2612211251088648,0.030478385031596417
69,69,1.3783140182495117,0.13,0.21,10.32,0.0556323699073192,-0.0436332312998582,0.0010908307824964,-0.2664776777278189,0.03098579943090557
70,70,1.3985145092010498,0.32,-0.15,9.65,0.0218166156499291,0.0294524311274043,-0.0087266462599716,-0.27134554851744885,0.03144380085743209
71,71,1.4179420471191406,0.28,0.08,9.93,-0.0381790773873759,0.0283616003449078,0.0403607389523688,-0.2760433193085312,0.03187533042088635
72,72,1.4393365383148193,0.21,-0.24,9.39,-0.0141808001724539,0.0043633231299858,0.0469057236473476,-0.2812344743677684,0.03234064185445393
73,73,1.4561965465545654,0.34,-0.4,9.98,-0.0272707695624114,-0.0272707695624114,0.0490873852123405,-0.2853380643321448,0.03270018305742571
74,74,1.4786486625671387,-0.47,0.18,9.54,0.0174532925199432,-0.1036289243371633,0.0414515697348653,-0.2908194275014823,0.03316943505877479
75,75,1.4986534118652344,-0.41,-0.26,9.56,-0.0054541539124822,-0.1254455399870924,0.0098174770424681,-0.29571872701780955,0.033578583145853116
